school,centers_0.25mi,centers_0.5mi,centers_1.0mi,centers_2.0mi
Carrboro Elementary,3,7,12,21
Ephesus Elementary,0,2,2,6
Estes Hills Elementary,0,0,3,9
Frank Porter Graham Bilingue,1,1,4,19
Glenwood Elementary,7,9,13,25
McDougle Elementary,0,0,1,20
Morris Grove Elementary,0,0,0,2
Northside Elementary,0,0,11,24
Rashkis Elementary,1,1,2,7
Scroggs Elementary,0,0,0,2
Seawell Elementary,0,0,9,21
