GEOID,total_pop,median_hh_income,pct_young_children,pct_elementary_age,pct_minority,pct_black,pct_hispanic,pct_below_185_poverty,pct_renter,pct_zero_vehicle,pct_single_parent,pct_low_income
371350122011,987,163750.0,6.788247213779129,8.814589665653495,25.22796352583586,21.88449848024316,1.4184397163120568,4.5592705167173255,23.684210526315788,0.0,26.47058823529412,15.0
371350122012,1442,191842.0,2.4271844660194173,6.2413314840499305,17.545076282940364,2.0110957004160888,6.310679611650485,2.7045769764216363,2.589641434262948,1.7928286852589643,4.545454545454546,1.7928286852589643
371350122023,1558,134188.0,7.702182284980745,4.942233632862644,17.39409499358151,0.9627727856225932,4.621309370988447,12.130937098844672,34.841628959276015,1.9607843137254901,8.778625954198473,25.037707390648567
371350122022,899,38281.0,5.450500556173527,4.226918798665183,21.579532814238046,5.89543937708565,1.2235817575083427,32.912844036697244,68.80952380952381,7.380952380952381,16.0,52.61904761904762
371350117003,701,70000.0,1.5691868758915835,5.848787446504993,36.661911554921545,0.0,14.835948644793154,35.901162790697676,75.91240875912408,0.0,0.0,40.87591240875913
371350117004,812,42708.0,9.852216748768473,5.665024630541872,28.325123152709363,11.453201970443349,6.896551724137931,64.28571428571429,62.71186440677966,3.8135593220338984,56.52173913043478,61.440677966101696
371350117002,450,75301.0,0.0,0.0,31.777777777777782,4.666666666666667,3.5555555555555554,39.77777777777778,86.20689655172413,14.559386973180077,100.0,37.16475095785441
371350116021,6813,27768.0,0.9393805959195655,0.48436811977102595,39.424629384999264,12.975194481138999,4.520769117862909,62.52587991718427,98.65470852017937,17.48878923766816,23.809523809523807,68.60986547085201
371350117001,3378,48409.0,0.3552397868561279,0.2960331557134399,23.149792776791,10.390763765541742,3.285968028419183,62.160694896851254,66.42685851318944,3.357314148681055,0.0,50.83932853717026
371350116011,2134,,0.0,0.0,33.41143392689785,11.105904404873478,6.091846298031865,100.0,100.0,100.0,0.0,100.0
371350115001,2042,138224.0,2.3016650342801177,8.178256611165525,27.7179236043095,3.9666993143976494,14.93633692458374,19.458128078817737,32.0,7.199999999999999,8.19672131147541,20.133333333333333
371350113002,681,34781.0,0.4405286343612335,3.2305433186490458,21.732745961820854,10.279001468428781,6.901615271659324,75.18355359765052,85.09803921568627,0.0,0.0,69.41176470588235
371350113003,1128,35750.0,0.0,3.280141843971631,36.347517730496456,27.03900709219858,1.6843971631205674,77.21631205673759,70.95808383233533,3.8922155688622757,100.0,74.8502994011976
371350114003,1960,,0.0,0.0,33.62244897959184,14.33673469387755,4.030612244897959,66.6030534351145,89.7271268057785,22.632423756019264,0.0,61.95826645264848
371350113001,941,,3.825717321997875,0.0,46.971307120085015,16.046758767268862,2.763018065887354,73.53878852284804,79.95110024449878,22.982885085574573,0.0,61.12469437652812
371350114002,1013,170391.0,0.0,0.0,32.37907206317868,13.030602171767027,1.085883514313919,23.851203501094094,22.305764411027567,0.0,0.0,24.31077694235589
371350118002,901,142831.0,1.8867924528301887,1.553829078801332,8.546059933407324,0.0,4.550499445061043,12.763596004439512,22.822822822822822,0.0,0.0,12.312312312312311
371350118003,1154,54063.0,7.452339688041594,7.798960138648179,34.1421143847487,15.944540727902945,1.9930675909878681,44.80069324090121,57.640232108317214,11.992263056092844,55.434782608695656,49.51644100580271
371350114001,781,110278.0,5.761843790012804,4.097311139564661,37.644046094750315,3.713188220230474,11.011523687580025,12.804097311139564,22.2972972972973,4.72972972972973,0.0,18.243243243243242
371350119024,1783,,1.346045989904655,2.579921480650589,16.881660123387555,0.11217049915872125,4.991587212563096,20.507042253521128,50.742240215924426,6.342780026990553,14.5985401459854,24.426450742240217
371350122013,1104,113952.0,3.713768115942029,2.4456521739130435,9.148550724637683,5.434782608695652,2.536231884057971,4.995374653098982,22.151898734177212,0.0,0.0,9.071729957805907
371350121031,1502,124923.0,13.84820239680426,5.326231691078561,35.9520639147803,0.0,2.596537949400799,0.9320905459387484,27.009646302250808,2.4115755627009645,0.0,11.254019292604502
371350121032,1034,47257.0,0.0,2.4177949709864603,30.17408123791102,24.564796905222437,3.1914893617021276,35.39651837524178,66.18357487922705,0.0,11.538461538461538,53.3011272141707
371350121021,579,142768.0,2.763385146804836,1.5544041450777202,13.471502590673579,9.153713298791018,3.1088082901554404,5.181347150259067,22.885572139303484,1.9900497512437811,0.0,7.462686567164178
371350121022,864,,10.532407407407407,7.523148148148148,26.504629629629626,1.5046296296296295,19.212962962962962,26.041666666666668,35.94202898550725,0.0,33.980582524271846,42.028985507246375
371350121011,918,,0.0,0.0,76.68845315904139,54.57516339869281,3.376906318082789,65.91981132075472,70.0,15.161290322580644,23.28767123287671,46.45161290322581
371350121012,598,66701.0,12.709030100334449,2.341137123745819,50.0,10.033444816053512,0.0,1.1705685618729096,28.35249042145594,0.0,49.56521739130435,20.306513409961685
371350121013,2214,85080.0,4.787714543812105,4.155374887082204,73.08039747064137,18.834688346883468,42.41192411924119,31.323048153342683,61.694058154235144,11.125158027812896,38.288288288288285,41.97218710493047
371350119023,337,145833.0,12.166172106824925,8.011869436201781,14.243323442136502,1.483679525222552,8.605341246290802,11.869436201780417,3.787878787878788,0.0,20.0,11.363636363636363
371350119021,1617,64926.0,8.039579468150897,4.205318491032776,46.69140383426098,12.492269635126778,16.079158936301795,26.097711811997527,61.794871794871796,3.4615384615384617,26.136363636363637,34.61538461538461
371350112061,958,80313.0,8.872651356993737,2.8183716075156577,52.71398747390397,16.17954070981211,6.576200417536534,31.62839248434238,89.89690721649485,6.5979381443298974,73.13432835820896,37.31958762886598
